  163                        17 16 35.6   -74 31 58    6.25         star A0V
  164 Iot2Mus                13 27 18.4   -74 41 31    6.63         star B9V
  165 Gam Hyi                03 47 14.4   -74 14 20    3.24         star M2III
  166                        10 39 16.7   -74 29 36    6.07         star K3II
  167                        07 35 21.9   -74 16 32    7.26  W      star B9IV
  168                        07 35 21.8   -74 16 32    7.16  W      star B9IV
  169                        18 32 55.3   -73 57 55    5.89         star K0III
  170                        12 03 44.4   -74 12 50    6.44         star G6III
  171 Kap Hyi                02 22 52.4   -73 38 45    5.01         star K1III
  172                        23 08 35.7   -73 35 11    6.15         star K3III
  173                        10 24 23.8   -74 01 54    4.00         star F2IV
  174                        05 34 44.8   -73 44 29    5.78         star M3III
  175                        10 24 44.4   -73 58 17    6.19         star A2V
  176                        18 12 34.5   -73 40 18    5.85  W      star F5V
  177                        00 10 38.7   -73 13 28    6.64  W      star F2V
  178                        00 38 40.8   -73 08 14    6.85         star A1
  179                        21 09 22.3   -73 10 23    5.68  W      star F8V
  180 Kap2Aps                15 40 21.2   -73 26 48    5.65  W      star B7III
  181 Eta Vol                08 22 04.5   -73 23 59    5.29  W      star A0IV
  182 Kap1Aps                15 31 30.8   -73 23 22    5.49  W      star B3IV
  183                        08 32 42.3   -73 21 23    6.12         star G8III
  184                        00 04 30.8   -72 53 52    7.31         star F2V
  185                        07 59 16.2   -73 14 41    6.34         star A3III
  186                        05 06 09.4   -73 02 16    6.27         star A1V
  187                        06 43 36.9   -73 07 05    6.37         star G8III
  188                        18 49 43.5   -72 59 40    6.06  W      star B9IV
  189 Eps Pav                20 00 35.5   -72 54 38    3.96         star A0V
  190                        14 53 13.7   -73 11 23    5.60  W      star G7III
  191                        10 31 02.1   -73 13 17    4.93  W      star K4III
  192                        09 31 36.4   -73 04 50    5.47         star K4III
  193                        21 11 20.7   -72 32 39    6.20         star K1III
  194                        12 32 10.1   -73 00 06    5.88         star K1III
  195 Lam Men                05 47 48.2   -72 42 08    6.53         star K0III
  196                        19 49 25.3   -72 30 12    5.41         star A4III
  197                        15 12 33.8   -72 46 13    6.01         star B8III
  198 Nu  Ind                22 24 36.8   -72 15 20    5.29  W      star A3V
  199                        04 53 05.6   -72 24 27    6.28         star F6V
  200 Zet Vol                07 41 49.3   -72 36 22    3.95  W      star K0III
  201                        09 05 08.9   -72 36 10    4.48         star F9II
  202                        08 49 50.4   -72 33 03    6.11         star A0
  204                        12 16 23.6   -72 36 52    6.22         star A0V
  205                        16 05 55.8   -72 24 02    5.70         star K1III
  206                        11 28 18.3   -72 28 28    6.09  W      star B3V
  207                        17 44 19.7   -72 13 15    6.49  W      star F7IV
  208                        10 44 26.6   -72 26 38    6.27         star F6V
  209 The Hyi                03 02 15.5   -71 54 09    5.53  W      star B3V
