ugriz~J055936.9-595615 89.90412500000001 -59.93758333333332 17.487 0.044 16.054 0.008 15.447 0.005 15.214 0.005 15.110 0.006
ugriz~J060034.6-595317 90.144375 -59.88819444444445 17.605 0.058 16.043 0.010 15.450 0.008 15.241 0.004 15.143 0.008
ugriz~J060021.1-595724 90.08825 -59.95677777777778 17.691 0.035 16.092 0.006 15.479 0.005 15.260 0.004 15.152 0.009
ugriz~J055953.7-300035 89.97408333333333 -30.009777777777778 12.411 0.001 11.364 0.001 11.127 0.002 11.091 0.002 11.113 0.001
ugriz~J055954.0-295715 89.975375 -29.95438888888889 13.448 0.002 12.130 0.002 11.663 0.001 11.525 0.002 11.480 0.002
ugriz~J060016.8-295911 90.07016666666667 -29.98658333333334 13.292 0.002 12.254 0.002 12.043 0.002 12.016 0.002 12.043 0.001
ugriz~J055932.8-300437 89.886875 -30.077194444444444 15.042 0.008 12.872 0.003 12.114 0.002 11.821 0.002 11.691 0.002
ugriz~J060022.2-295930 90.092875 -29.99177777777778 13.612 0.002 12.469 0.001 12.132 0.002 12.033 0.001 12.017 0.001
ugriz~J060023.5-300314 90.09825 -30.053888888888892 14.093 0.002 12.776 0.002 12.345 0.002 12.219 0.001 12.192 0.001
ugriz~J055935.9-300114 89.89987500000001 -30.02058333333333 14.478 0.003 13.202 0.002 12.791 0.002 12.674 0.002 12.665 0.002
ugriz~J055929.9-300500 89.87466666666667 -30.083499999999997 14.328 0.005 13.174 0.003 12.860 0.002 12.748 0.003 12.763 0.004
ugriz~J055951.6-300545 89.965125 -30.096000000000004 14.743 0.002 13.396 0.002 12.956 0.002 12.828 0.002 12.813 0.002
ugriz~J055940.7-300503 89.919875 -30.084194444444446 14.722 0.005 13.411 0.002 12.970 0.002 12.835 0.002 12.814 0.002
ugriz~J060012.7-295516 90.05316666666667 -29.921194444444442 14.708 0.003 13.476 0.002 13.095 0.002 12.984 0.001 12.961 0.002
ugriz~J055956.0-295752 89.98366666666666 -29.9645 15.646 0.006 13.780 0.002 13.149 0.002 12.978 0.001 12.907 0.002
ugriz~J055939.4-295339 89.9145 -29.894388888888887 16.186 0.012 13.947 0.009 13.165 0.004 12.854 0.004 12.709 0.005
ugriz~J060007.9-295443 90.03295833333334 -29.91219444444444 15.924 0.007 13.914 0.002 13.191 0.002 12.911 0.001 12.768 0.002
ugriz~J055928.8-300557 89.870375 -30.099194444444443 16.015 0.019 14.084 0.006 13.381 0.007 13.090 0.006 12.967 0.007
ugriz~J060033.8-300600 90.14091666666667 -30.100000000000005 14.891 0.007 13.718 0.005 13.391 0.003 13.262 0.009 13.257 0.009
ugriz~J060026.7-300348 90.111625 -30.063500000000005 14.786 0.004 13.738 0.003 13.464 0.002 13.380 0.002 13.384 0.003
ugriz~J055930.7-300005 89.87825 -30.00158333333333 15.046 0.009 13.857 0.003 13.487 0.003 13.356 0.002 13.331 0.003
ugriz~J060015.3-300315 90.06375 -30.054277777777777 15.298 0.009 13.986 0.002 13.587 0.002 13.494 0.002 13.477 0.002
ugriz~J055953.7-300222 89.97412500000002 -30.03958333333334 15.018 0.004 13.899 0.002 13.589 0.002 13.514 0.002 13.515 0.003
ugriz~J055935.4-295539 89.89775 -29.927500000000002 15.098 0.010 13.949 0.004 13.610 0.010 13.521 0.006 13.521 0.009
ugriz~J060005.0-295336 90.02104166666668 -29.893500000000003 16.462 0.009 14.397 0.010 13.629 0.006 13.332 0.009 13.177 0.008
ugriz~J060002.1-295752 90.00895833333333 -29.9645 15.260 0.003 14.099 0.003 13.683 0.002 13.547 0.002 13.499 0.002
ugriz~J055952.0-300215 89.96683333333334 -30.0375 16.027 0.016 14.460 0.003 13.841 0.002 13.624 0.002 13.531 0.002
ugriz~J060033.4-295712 90.13920833333334 -29.953388888888885 15.396 0.013 14.293 0.003 13.973 0.005 13.854 0.007 13.845 0.009
ugriz~J055942.4-295457 89.92666666666666 -29.91608333333333 16.574 0.018 14.742 0.004 14.047 0.002 13.772 0.001 13.641 0.003
ugriz~J055930.3-300246 89.87633333333333 -30.04619444444445 15.565 0.014 14.499 0.005 14.158 0.004 14.033 0.007 14.034 0.009
ugriz~J060022.5-295728 90.093875 -29.958 18.079 0.085 15.426 0.008 14.215 0.004 13.710 0.003 13.464 0.002
ugriz~J055940.5-300527 89.91891666666666 -30.090999999999998 16.544 0.026 14.936 0.007 14.361 0.003 14.146 0.002 14.077 0.003
ugriz~J060004.2-295520 90.01754166666667 -29.922277777777776 15.683 0.006 14.642 0.003 14.397 0.003 14.333 0.003 14.334 0.005
ugriz~J055949.1-295431 89.95470833333334 -29.908777777777775 16.452 0.016 14.986 0.004 14.426 0.003 14.207 0.005 14.126 0.003
ugriz~J060001.3-300525 90.00566666666667 -30.090388888888892 16.483 0.010 15.058 0.004 14.552 0.003 14.363 0.003 14.282 0.003
ugriz~J060017.9-300520 90.07470833333333 -30.089000000000002 16.578 0.018 15.083 0.006 14.557 0.003 14.378 0.003 14.325 0.004
ugriz~J060006.0-295554 90.02537500000001 -29.931694444444446 16.961 0.023 15.204 0.007 14.590 0.003 14.415 0.002 14.338 0.004
ugriz~J055955.8-300029 89.98254166666668 -30.00808333333333 16.127 0.031 15.010 0.005 14.637 0.003 14.537 0.003 14.543 0.004
ugriz~J055943.5-300157 89.931625 -30.032499999999995 16.456 0.014 15.134 0.004 14.665 0.005 14.524 0.003 14.480 0.003
ugriz~J060004.4-300524 90.01870833333334 -30.090194444444442 16.495 0.015 15.231 0.008 14.774 0.004 14.619 0.004 14.586 0.006
ugriz~J055932.2-300243 89.8845 -30.045388888888894 17.827 0.072 15.750 0.009 14.956 0.005 14.678 0.007 14.572 0.008
ugriz~J060005.5-295703 90.02295833333334 -29.950999999999997 16.837 0.022 15.521 0.008 15.051 0.004 14.905 0.002 14.853 0.007
ugriz~J060022.5-295742 90.09379166666668 -29.96188888888889 18.302 0.049 15.981 0.010 15.072 0.006 14.775 0.003 14.655 0.007
ugriz~J060010.3-300142 90.043 -30.028388888888887 16.619 0.019 15.556 0.006 15.179 0.004 15.079 0.003 15.045 0.008
ugriz~J060024.2-295358 90.10095833333332 -29.899583333333336 16.826 0.020 15.622 0.006 15.249 0.007 15.137 0.005 15.109 0.008
ugriz~J060020.0-295541 90.08333333333333 -29.928194444444443 17.145 0.027 15.905 0.009 15.497 0.005 15.373 0.005 15.343 0.008
ugriz~J075908.4-595014 119.78537500000002 -59.83727777777778 11.943 0.003 10.714 0.001 10.680 0.002 10.745 0.002 10.806 0.001
ugriz~J080012.2-595726 120.05116666666667 -59.95738888888889 13.048 0.002 11.736 0.002 11.295 0.002 11.163 0.002 11.116 0.002
ugriz~J075918.1-595533 119.82554166666668 -59.92588888888889 14.536 0.004 12.350 0.002 11.535 0.002 11.231 0.001 11.066 0.002
ugriz~J075854.8-595152 119.728625 -59.86469444444444 13.155 0.012 11.936 0.010 11.546 0.004 11.407 0.003 11.373 0.002
ugriz~J080001.0-595356 120.00454166666665 -59.899 15.470 0.011 13.070 0.002 12.153 0.003 11.800 0.002 11.581 0.002
ugriz~J080019.0-594953 120.07954166666669 -59.83138888888889 13.682 0.003 12.503 0.003 12.194 0.002 12.104 0.001 12.086 0.002
ugriz~J075849.6-600002 119.70683333333334 -60.00069444444444 16.090 0.028 13.486 0.006 12.544 0.002 12.171 0.005 11.967 0.004
ugriz~J075950.5-595056 119.96041666666666 -59.84900000000001 16.071 0.016 13.698 0.002 12.803 0.002 12.439 0.002 12.214 0.002
ugriz~J075857.7-600127 119.74074999999999 -60.02419444444444 15.867 0.145 13.836 0.006 12.965 0.005 12.599 0.002 12.410 0.004
ugriz~J075903.0-600133 119.76250000000002 -60.026083333333325 17.044 0.038 14.080 0.003 12.973 0.003 12.496 0.003 12.231 0.005
ugriz~J080021.2-595926 120.08845833333332 -59.99058333333334 17.006 0.015 14.156 0.003 13.037 0.002 12.553 0.002 12.258 0.002
ugriz~J075904.1-595211 119.76745833333334 -59.86988888888889 14.573 0.008 13.421 0.007 13.124 0.007 13.034 0.007 13.010 0.008
ugriz~J075854.3-595807 119.72629166666668 -59.96877777777779 14.623 0.004 13.482 0.004 13.141 0.001 13.028 0.002 13.023 0.002
ugriz~J080015.4-595454 120.06420833333334 -59.915083333333335 14.585 0.006 13.415 0.002 13.160 0.002 13.105 0.002 13.102 0.003
ugriz~J080004.8-595521 120.02016666666668 -59.922694444444446 14.578 0.003 13.325 0.003 13.216 0.002 13.231 0.002 13.249 0.002
ugriz~J075939.2-600057 119.91362500000001 -60.01599999999999 14.860 0.004 13.648 0.002 13.278 0.001 13.157 0.002 13.127 0.002
ugriz~J080040.5-600112 120.16904166666666 -60.020194444444435 16.465 0.034 14.200 0.008 13.308 0.006 12.966 0.007 12.798 0.010
ugriz~J075948.4-595044 119.95204166666667 -59.84558333333333 15.087 0.017 13.836 0.002 13.377 0.001 13.201 0.002 13.120 0.002
ugriz~J080009.9-595058 120.041625 -59.8495 15.125 0.005 13.842 0.002 13.413 0.002 13.266 0.001 13.207 0.003
ugriz~J080019.5-595308 120.08133333333335 -59.885777777777776 15.126 0.005 13.867 0.002 13.452 0.002 13.303 0.002 13.239 0.002
ugriz~J075921.6-600000 119.84020833333334 -60.00008333333333 15.197 0.006 13.926 0.002 13.493 0.001 13.341 0.001 13.296 0.002
ugriz~J080016.5-595414 120.06879166666667 -59.904083333333325 16.332 0.016 14.332 0.002 13.505 0.002 13.144 0.002 12.927 0.002
ugriz~J075943.5-595820 119.93137500000002 -59.972388888888894 15.745 0.004 14.208 0.003 13.599 0.001 13.361 0.002 13.246 0.002
ugriz~J075944.0-595823 119.93345833333336 -59.973194444444445 15.731 0.006 14.198 0.004 13.601 0.002 13.365 0.002 13.249 0.003
ugriz~J080028.0-594802 120.11683333333333 -59.80077777777778 15.568 0.019 14.123 0.004 13.611 0.003 13.419 0.003 13.346 0.003
ugriz~J080023.1-595029 120.09662500000002 -59.841388888888886 15.658 0.007 14.190 0.003 13.632 0.002 13.381 0.002 13.252 0.003
ugriz~J080033.4-595140 120.13929166666665 -59.86127777777778 15.277 0.008 14.108 0.004 13.688 0.003 13.516 0.003 13.453 0.004
ugriz~J075854.4-595229 119.72683333333333 -59.87477777777778 16.858 0.033 14.591 0.005 13.731 0.003 13.368 0.005 13.165 0.006
ugriz~J080022.1-595856 120.09225 -59.98238888888889 15.850 0.007 14.411 0.003 13.884 0.002 13.687 0.002 13.598 0.003
ugriz~J075954.5-600143 119.97745833333335 -60.02869444444443 15.401 0.015 14.269 0.005 13.895 0.002 13.740 0.003 13.698 0.004
ugriz~J080024.2-595206 120.10091666666668 -59.86838888888888 15.523 0.007 14.277 0.004 13.914 0.002 13.780 0.002 13.730 0.003
ugriz~J075915.3-600023 119.81404166666668 -60.00658333333333 16.776 0.015 14.730 0.004 13.950 0.002 13.672 0.002 13.544 0.003
